タイムスタンプ	ファイル名	エラー	メッセージ
2026-01-17 10:32:07.012 +0900	NightClub2.fmp12	0	インポート処理が開始されました
2026-01-17 10:32:07.036 +0900	NightClub2.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2026-01-17 10:32:07.042 +0900	NightClub2	0	フィールド「作成情報タイムスタンプ」は、「作成情報タイムスタンプ 2」としてインポートされました。「作成情報タイムスタンプ」という名前のフィールドはすでに存在します。
2026-01-17 10:32:07.048 +0900	NightClub2	0	インポート済みフィールド: 1
2026-01-17 10:32:07.049 +0900	NightClub2.fmp12	0	インポートが完了しました
2026-01-17 10:32:30.551 +0900	NightClub2.fmp12	0	インポート処理が中止されました
2026-01-17 10:32:30.551 +0900	NightClub2.fmp12	0	==================================================================
2026-01-17 10:32:36.958 +0900	NightClub2.fmp12	0	インポート処理が開始されました
2026-01-17 10:32:36.975 +0900	NightClub2.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2026-01-17 10:32:36.979 +0900	NightClub2	0	フィールド「作成情報タイムスタンプ」は、「作成情報タイムスタンプ 2」としてインポートされました。「作成情報タイムスタンプ」という名前のフィールドはすでに存在します。
2026-01-17 10:32:36.979 +0900	NightClub2	0	インポート済みフィールド: 1
2026-01-17 10:32:36.981 +0900	NightClub2.fmp12	0	インポートが完了しました
2026-01-17 10:32:45.928 +0900	NightClub2.fmp12	0	インポート処理が中止されました
2026-01-17 10:32:45.929 +0900	NightClub2.fmp12	0	==================================================================
2026-01-17 10:35:47.722 +0900	NightClub2.fmp12	0	インポート処理が開始されました
2026-01-17 10:35:47.740 +0900	NightClub2.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2026-01-17 10:35:47.743 +0900	NightClub2	0	フィールド「修正者」は、「修正者 2」としてインポートされました。「修正者」という名前のフィールドはすでに存在します。
2026-01-17 10:35:47.745 +0900	NightClub2	0	インポート済みフィールド: 1
2026-01-17 10:35:47.746 +0900	NightClub2.fmp12	0	インポートが完了しました
2026-01-17 10:44:31.684 +0900	NightClub2.fmp12	0	インポート処理が中止されました
2026-01-17 10:44:31.684 +0900	NightClub2.fmp12	0	==================================================================
